# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
3816726,693,-140,711,-39,275,-371
3821990,692,-139,709,-39,275,-371
3827255,690,-139,707,-39,275,-371
3832519,691,-138,711,-39,275,-371
3837784,693,-140,710,-39,275,-371
3843049,691,-139,707,-39,275,-371
3848313,691,-137,710,-39,275,-371
3853578,691,-141,708,-39,275,-371
3858843,690,-139,711,-39,275,-371
3864108,691,-138,710,-39,275,-371
3869373,690,-141,711,-39,275,-371
3874855,692,-140,712,-39,275,-371
3880119,693,-139,711,-39,275,-371
3885384,692,-140,709,-39,275,-371
3890649,688,-142,708,-39,275,-371
3895913,690,-139,711,-39,275,-371
3901178,691,-141,710,-39,275,-371
3906444,691,-139,711,-39,275,-371
